name_en,name_fr,country,iso3,mean_energy_price,mean_GDP_per_capita,mean_HICP_inflation,mean_NRJ_dependency,mean_NRJ_productivity,mean_POLL_death,mean_GREEN_Bound,mean_GREEN_COP21,mean_GREEN_Losses,mean_GREEN_employment,mean_GREEN_enviro_protection,mean_GREEN_gross_value,mean_GREEN_investments,mean_GREEN_tax,mean_FDI_impact,mean_GOV_GDP,mean_GOV_bound,mean_GOV_deficit,mean_share_renew_energy,mean_CO2_emissions
Czech Republic,République tchèque,CZ,CZE,0.2630666666666666,2.2291666666666665,3.816666666666667,27.591352941176474,5.612500000000001,90.88235294117646,3.3,86.71000000000001,40.78068181818182,7642963.0,0.75,2.4866666666666664,1208.9263157894738,2.1596551724137933,-37.148363353817906,90.7344827586207,4.005000000000001,-1.8416666666666668,12.943299999999999,72.95454545454547
France,France,FR,FRA,0.1623666666666667,0.8333333333333334,1.925,49.090999999999994,7.224166666666665,44.35294117647059,5.9,51822.10999999999,49.25952380952381,65675414.0,0.4,2.092,14650.29052631579,2.111379310344827,7.837741046831956,89.26739130434783,3.0175,-4.683333333333334,14.306650000000005,91.66060606060609
Slovakia,Slovaquie,SK,SVK,0.15286666666666665,3.283333333333333,3.2000000000000006,65.37170588235294,5.726666666666667,94.82352941176471,16.3,47.72,8.25159090909091,1392878.0,0.39999999999999997,1.52,528.6073684210527,2.300689655172414,7.955281385281387,89.39655172413794,3.476666666666666,-3.033333333333333,11.51695,63.85757575757575
Finland,Finlande,FI,FIN,0.10759999999999999,1.0125,1.8083333333333336,51.129882352941195,4.659583333333334,10.352941176470589,10.6,1264.68,10.729318181818181,10686157.0,0.26,5.850909090909091,1295.9636842105263,2.884827586206897,-13.488083103764923,87.25454545454546,2.8649999999999998,-2.1333333333333333,37.112700000000004,101.3878787878788
Italy,Italie,IT,ITA,0.2989,0.38749999999999996,1.8333333333333333,80.63047058823528,9.740833333333335,91.6470588235294,6.1,5326.15,52.18363636363636,34123037.0,0.4000000000000001,2.625714285714286,6289.255263157895,3.139310344827586,4.0473193473193465,89.60689655172415,3.6966666666666668,-4.45,14.929299999999998,93.72121212121213
Sweden,Suède,SE,SWE,0.11891666666666667,1.3208333333333335,2.283333333333333,35.01011764705881,6.2387500000000005,15.176470588235293,16.2,5934.530000000001,9.141818181818183,8911204.0,0.38333333333333336,3.610909090909091,4533.070000000001,2.451724137931035,12.60008829554284,88.5,2.2075,-0.37499999999999983,51.099500000000006,67.27272727272728
Denmark,Danemark,DK,DNK,0.17775,1.1520000000000001,1.5833333333333333,4.645794117647059,10.085833333333335,36.411764705882355,13.9,2567.42,37.13590909090909,6043897.0,0.4375,3.1536363636363633,5205.151052631578,4.133793103448277,10.117948717948718,86.55,2.2866666666666666,1.2249999999999999,27.9806,89.85151515151516
Germany,Allemagne,DE,DEU,0.22451666666666667,0.9640000000000001,2.441666666666667,60.40050000000001,8.29875,60.64705882352941,13.3,75708.13,49.87409090909091,38082271.0,0.4000000000000001,2.0288888888888885,12181.241578947369,2.4265517241379304,8.956759906759906,89.9235294117647,2.3474999999999997,-0.42500000000000004,13.932850000000002,77.06666666666665
Portugal,Portugal,PT,PRT,0.2426,0.8833333333333334,1.7750000000000001,79.48038235294119,8.876666666666667,37.76470588235294,8.4,37.769999999999996,36.37772727272727,7998754.0,0.3125,2.497777777777778,1298.203157894737,2.6489655172413795,4.537354312354313,87.22413793103448,2.9575,-3.0166666666666657,27.395599999999995,101.6151515151515
Bulgaria,Bulgarie,BG,BGR,0.16463333333333333,4.383333333333334,2.5749999999999997,46.04649999999999,4.72,205.94117647058823,0.0,0.4700000000000001,16.006136363636365,3773866.0,0.8625,2.332,450.8147368421052,2.7044827586206894,2.3780303030303034,87.34137931034482,3.93,-1.3,16.116499999999995,62.218181818181826
Cyprus,Chypre,CY,CYP,0.22653333333333334,1.825,1.2416666666666665,96.88749999999997,7.484999999999999,88.76470588235294,0.0,0.0,12.567045454545456,372371.0,0.41818181818181815,1.832,26.49,3.0493103448275862,4.319231601731602,88.92758620689655,3.1133333333333333,-2.733333333333333,9.752899999999999,144.9242424242425
Hungary,Hongrie,HU,HUN,0.12766666666666668,2.775,4.625,55.57888235294119,6.774166666666666,124.3529411764706,15.3,174.95999999999998,23.343409090909095,1773955.0,0.7374999999999999,0.6316666666666667,1022.8389473684214,2.5606896551724136,3.7738711288711286,85.34482758620689,6.571666666666665,-3.7916666666666674,12.4223,73.96363636363634
Ireland,Irlande,IE,IRL,0.2927333333333333,3.7708333333333335,1.5833333333333333,79.80629411764704,14.102916666666665,13.294117647058824,6.3,800.96,20.831818181818182,2226384.0,0.225,0.8744444444444445,347.6084210526316,2.1762068965517245,6.520966810966811,91.04827586206896,2.734166666666667,-1.991666666666667,8.2804,114.75151515151515
Estonia,Estonie,EE,EST,0.19283333333333333,3.483333333333333,4.175,22.79458823529412,4.707916666666667,21.705882352941178,0.0,12.76,5.573863636363636,2096800.0,0.65,4.441111111111111,207.60473684210527,2.433448275862069,6.993159567705021,87.93448275862069,3.5625,-1.0583333333333333,26.719500000000004,51.24545454545455
Malta,Malte,MT,MLT,0.16132,2.8652173913043475,2.0,100.61591176470588,4.834583333333333,46.470588235294116,0.0,1.7999999999999998,2.5520454545454543,262660.0,0.30000000000000004,1.0063636363636363,34.11684210526315,2.8313793103448273,0.41597222222222224,89.15862068965517,3.3691666666666666,-2.175,5.11215,107.07272727272729
